,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,ESTOI,PROCESSING_TIME
15,000015,P288,27,DKITCHEN,-4.0,-30.0,False,1.1970224380493164,0.873695969581604,8.100497245788574,0.7089304327964783,0.0159304141998291
16,000016,P288,27,DKITCHEN,inf,-30.0,False,1.314274787902832,0.8971560597419739,8.721012115478516,0.7507791519165039,0.015073299407958984
17,000017,P288,27,DKITCHEN,-4.0,inf,False,3.723019599914551,0.9989750981330872,31.98883628845215,0.9961746335029602,0.015813350677490234
18,000018,P317,5104,PSTATION,-13.0,-15.0,True,1.9761006832122803,0.8885051608085632,16.04262351989746,0.7002947926521301,0.015033245086669922
19,000019,P317,5104,PSTATION,inf,-15.0,True,2.0797817707061768,0.881712794303894,17.131465911865234,0.7202621102333069,0.01702284812927246
20,000020,P317,5104,PSTATION,-13.0,inf,True,3.0454702377319336,0.9804346561431885,19.871078491210938,0.9234362244606018,0.0150299072265625
21,000021,P317,5104,PSTATION,-12.0,-20.0,False,1.5189470052719116,0.8422024250030518,13.889269828796387,0.62494957447052,0.015737056732177734
22,000022,P317,5104,PSTATION,inf,-20.0,False,1.6383994817733765,0.8499959707260132,14.039148330688477,0.6342945098876953,0.014972925186157227
23,000023,P317,5104,PSTATION,-12.0,inf,False,3.589926242828369,0.9852297306060791,26.672992706298828,0.9555785059928894,0.01720118522644043
24,000024,P299,3526,NFIELD,-3.0,-25.0,True,2.001126766204834,0.9154303073883057,18.29460906982422,0.7991824746131897,0.015323638916015625
25,000025,P299,3526,NFIELD,inf,-25.0,True,2.231520414352417,0.9374802708625793,18.972505569458008,0.8277820944786072,0.016244888305664062
26,000026,P299,3526,NFIELD,-3.0,inf,True,2.96362566947937,0.9724977612495422,22.109848022460938,0.9353060722351074,0.016054391860961914
27,000027,P299,3526,NFIELD,-11.0,-18.0,False,2.8307645320892334,0.9768699407577515,23.675546646118164,0.9363687038421631,0.020362377166748047
28,000028,P299,3526,NFIELD,inf,-18.0,False,3.1136786937713623,0.9875770211219788,24.376903533935547,0.9625353217124939,0.015044212341308594
29,000029,P299,3526,NFIELD,-11.0,inf,False,3.5203614234924316,0.9951201677322388,32.601531982421875,0.9818103909492493,0.016059160232543945
30,000030,P308,8975,TCAR,-8.0,-4.0,True,2.9712586402893066,0.9902534484863281,21.468509674072266,0.9765794277191162,0.015042543411254883
31,000031,P308,8975,TCAR,inf,-4.0,True,3.646221160888672,0.9945339560508728,21.912216186523438,0.9864822030067444,0.017038822174072266
32,000032,P308,8975,TCAR,-8.0,inf,True,2.9952962398529053,0.9908232688903809,21.60541534423828,0.9767703413963318,0.015018224716186523
33,000033,P308,8975,TCAR,-7.0,-7.0,False,3.12045955657959,0.9988208413124084,27.394548416137695,0.9963573813438416,0.015866518020629883
34,000034,P308,8975,TCAR,inf,-7.0,False,4.231584072113037,0.9996943473815918,27.46355628967285,0.9986861944198608,0.015128850936889648
35,000035,P308,8975,TCAR,-7.0,inf,False,3.3758955001831055,0.9991788268089294,35.998626708984375,0.9979772567749023,0.015387296676635742
36,000036,P299,4481,OHALLWAY,-3.0,-15.0,True,2.1277592182159424,0.9762021899223328,15.471373558044434,0.9236305356025696,0.01493525505065918
37,000037,P299,4481,OHALLWAY,inf,-15.0,True,2.6297974586486816,0.9808876514434814,16.7012882232666,0.9497030377388,0.01708197593688965
38,000038,P299,4481,OHALLWAY,-3.0,inf,True,2.4427433013916016,0.9777969717979431,15.641834259033203,0.9280831217765808,0.016047954559326172
39,000039,P299,4481,OHALLWAY,-10.0,-1.0,False,2.3997018337249756,0.9989221096038818,24.85601043701172,0.9956701397895813,0.015728473663330078
40,000040,P299,4481,OHALLWAY,inf,-1.0,False,2.8732590675354004,0.9997668862342834,27.896629333496094,0.9990010857582092,0.016930103302001953
41,000041,P299,4481,OHALLWAY,-10.0,inf,False,3.4398300647735596,0.9994126558303833,31.677379608154297,0.9966812133789062,0.01580953598022461
42,000042,P308,5105,NFIELD,-3.0,-9.0,True,2.910139799118042,0.9859474301338196,21.405996322631836,0.9410417079925537,0.014910221099853516
43,000043,P308,5105,NFIELD,inf,-9.0,True,3.1460070610046387,0.9966200590133667,22.723957061767578,0.9844968914985657,0.01630854606628418
44,000044,P308,5105,NFIELD,-3.0,inf,True,3.265974283218384,0.9870913028717041,22.76845932006836,0.9611637592315674,0.017902851104736328
45,000045,P308,5105,NFIELD,-6.0,-21.0,False,2.4479331970214844,0.9628721475601196,20.04468536376953,0.8654854893684387,0.015452861785888672
46,000046,P308,5105,NFIELD,inf,-21.0,False,2.776061534881592,0.9871759414672852,22.732759475708008,0.9359377026557922,0.015057802200317383
